country,continent,mean_temp,mean_precip,mean_pm25,n
Turkmenistan,Asia,23.051837769328266,0.022953105196451204,19.03059569268172,789
Tuvalu,Oceania,28.83898734177215,0.34839240506329117,6.042969620011728,790
Uganda,Africa,24.972911392405063,0.15841772151898734,30.861310126823714,790
Ukraine,Europe,12.40543615676359,0.05268015170670038,15.041529709319247,791
United Arab Emirates,Asia,32.35620253164557,0.00035443037974683546,56.32639873514296,790
United Kingdom,Europe,12.35253807106599,0.07565989847715736,14.438039340101522,788
United States of America,North America,9.010687022900763,0.050725190839694664,6.064236641706705,786
Uruguay,South America,14.178453738910012,0.08986058301647656,11.460728770112205,789
Uzbekistan,Asia,22.619595448798986,0.048887484197218715,23.128817952321242,791
Vanuatu,Oceania,25.162911392405064,0.24281012658227846,8.688253164677679,790
Vatican City,Europe,18.5834386852086,0.07777496839443741,16.46981668773704,791
Venezuela,South America,22.336040609137054,0.08277918781725889,14.497588832608335,788
Vietnam,Asia,27.332717041800645,0.2637138263665595,57.77303697687866,1244
Yemen,Asia,22.174841972187103,0.035549936788874845,23.180417192943782,791
Zambia,Africa,23.436202531645566,0.09349367088607595,11.308082278239576,790
Zimbabwe,Africa,22.219416243654823,0.08724619289340102,18.131116751995183,788
